Probe_name	Gene_Name	Gene_desc	Tumor_1_ERPos_expr	Tumor_2_ERNeg_expr
U66469_AT	CGRRF1	cell growth regulator with ring finger domain 1	424	359
U96769_RNA1_AT	CHAD	chondroadherin	237	-754
U20979_AT	CHAF1A	"chromatin assembly factor 1, subunit A (p150)"	355	204
U20980_AT	CHAF1B	"chromatin assembly factor 1, subunit B (p60)"	-107	-101
X86691_AT	CHD4	chromodomain helicase DNA binding protein 4	1335	1186
U00930_AT	CHD8	chromodomain helicase DNA binding protein 8	132	-32
U94836_AT	CHERP	calcium homeostasis endoplasmic reticulum protein	740	279
Y08265_S_AT	CHERP	calcium homeostasis endoplasmic reticulum protein	1034	182
J03915_S_AT	CHGA	chromogranin A (parathyroid secretory protein 1)	-140	671
Y00064_AT	CHGB	chromogranin B (secretogranin 1)	79	74
Y08374_RNA1_AT	CHI3L1	chitinase 3-like 1 (cartilage glycoprotein-39)	490	1783
U49835_S_AT	CHI3L2	chitinase 3-like 2	124	1457
Y11897_AT	CHIC1	cysteine-rich hydrophobic domain 1	476	515
U29615_AT	CHIT1	chitinase 1 (chitotriosidase)	222	284
D10704_AT	CHKA	choline kinase alpha	1414	365
U62317_RNA3_AT	CHKB /// CPT1B	choline kinase beta /// carnitine palmitoyltransferase 1B (muscle)	1432	1512
U66828_S_AT	CHKB /// CPT1B	choline kinase beta /// carnitine palmitoyltransferase 1B (muscle)	678	237
X78121_AT	CHM	choroideremia (Rab escort protein 1)	-77	-35
X64728_AT	CHML	choroideremia-like (Rab escort protein 2)	7	125
U58048_AT	CHMP1A	chromatin modifying protein 1A	522	1234
X51408_AT	CHN1	chimerin (chimaerin) 1	-19	189
U07223_AT	CHN2	chimerin (chimaerin) 2	366	325
U61538_AT	CHP	calcium binding protein P22	63	8
X70297_AT	CHRFAM7A	"CHRNA7 (cholinergic receptor, nicotinic, alpha 7, exons 5-10) and FAM7A (family with sequence similarity 7A, exons A-E) fusion"	326	108
M35128_AT	CHRM1	"cholinergic receptor, muscarinic 1"	610	233
M16404_AT	CHRM2	"cholinergic receptor, muscarinic 2"	-119	-19
U29589_AT	CHRM3	"cholinergic receptor, muscarinic 3"	-151	46
M16405_AT	CHRM4	"cholinergic receptor, muscarinic 4"	-89	420
M80333_AT	CHRM5	"cholinergic receptor, muscarinic 5"	255	526
S77094_AT	CHRNA1	"cholinergic receptor, nicotinic, alpha 1 (muscle)"	-443	237
U62431_AT	CHRNA2	"cholinergic receptor, nicotinic, alpha 2 (neuronal)"	-12	-25
M37981_AT	CHRNA3	"cholinergic receptor, nicotinic, alpha 3"	91	73
M86383_S_AT	CHRNA3	"cholinergic receptor, nicotinic, alpha 3"	-189	-116
U62432_AT	CHRNA3	"cholinergic receptor, nicotinic, alpha 3"	-64	-70
U62433_AT	CHRNA4	"cholinergic receptor, nicotinic, alpha 4"	47	-5
M83712_S_AT	CHRNA5	"cholinergic receptor, nicotinic, alpha 5"	98	1
U62434_AT	CHRNA5	"cholinergic receptor, nicotinic, alpha 5"	-160	-82
X14830_AT	CHRNB1	"cholinergic receptor, nicotinic, beta 1 (muscle)"	150	75
U62437_AT	CHRNB2	"cholinergic receptor, nicotinic, beta 2 (neuronal)"	362	433
U62438_AT	CHRNB3	"cholinergic receptor, nicotinic, beta 3"	73	-38
Y08417_S_AT	CHRNB3	"cholinergic receptor, nicotinic, beta 3"	63	170
U48861_AT	CHRNB4	"cholinergic receptor, nicotinic, beta 4"	-74	-1361
X55019_S_AT	CHRND	"cholinergic receptor, nicotinic, delta"	712	275
X66403_AT	CHRNE	"cholinergic receptor, nicotinic, epsilon"	214	148
X01715_AT	CHRNG	"cholinergic receptor, nicotinic, gamma"	-45	175
U85611_AT	CIB1	calcium and integrin binding 1 (calmyrin)	1898	991
U18259_AT	CIITA	"class II, major histocompatibility complex, transactivator"	-61	197
U18288_AT	CIITA	"class II, major histocompatibility complex, transactivator"	53	86
X74301_S_AT	CIITA	"class II, major histocompatibility complex, transactivator"	19	183
U03644_AT	CIR	CBF1 interacting corepressor	206	231
D78134_AT	CIRBP	cold inducible RNA binding protein	3819	1252
U65092_AT	CITED1	"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 1"	-86	-2
U65093_AT	CITED2	"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2"	296	55
X69910_AT	CKAP4	cytoskeleton-associated protein 4	1442	444
D43948_AT	CKAP5	cytoskeleton associated protein 5	428	759
M16364_S_AT	CKB	"creatine kinase, brain"	-626	406
M21494_AT	CKM	"creatine kinase, muscle"	-8	224
J04469_AT	CKMT1B	"creatine kinase, mitochondrial 1B"	672	44
J05401_AT	CKMT2	"creatine kinase, mitochondrial 2 (sarcomeric)"	136	104
X54941_AT	CKS1B	CDC28 protein kinase regulatory subunit 1B	970	607
X54942_AT	CKS2	CDC28 protein kinase regulatory subunit 2	633	1355
L01664_AT	CLC	Charcot-Leyden crystal protein	5	-51
Z25884_AT	CLCN1	"chloride channel 1, skeletal muscle (Thomsen disease, autosomal dominant)"	482	54
X78520_AT	CLCN3	chloride channel 3	156	-16
X77197_AT	CLCN4	chloride channel 4	101	69
X81836_S_AT	CLCN5	"chloride channel 5 (nephrolithiasis 2, X-linked, Dent disease)"	-75	-114
X83378_AT	CLCN6	chloride channel 6	162	373
Z67743_AT	CLCN7	chloride channel 7	446	282
Z30643_AT	CLCNKA	chloride channel Ka	1858	904
Z30644_AT	CLCNKB	chloride channel Kb	1804	1250
U89916_AT	CLDN10	claudin 10	83	-31
AF000959_AT	CLDN5	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)	-1	-520
D50532_AT	CLEC10A	"C-type lectin domain family 10, member A"	145	41
X96719_AT	CLEC2B	"C-type lectin domain family 2, member B"	-41	-29
X64559_AT	CLEC3B	"C-type lectin domain family 3, member B"	-106	-84
U93205_AT	CLIC1	chloride intracellular channel 1	2589	2259
D79993_AT	CLINT1	clathrin interactor 1	275	318
X64838_AT	CLIP1	CAP-GLY domain containing linker protein 1	973	234
L29218_AT	CLK2	CDC-like kinase 2	831	1423
L29217_AT	CLK3	CDC-like kinase 3	-1146	-393
U32680_AT	CLN3	"ceroid-lipofuscinosis, neuronal 3, juvenile (Batten, Spielmeyer-Vogt disease)"	840	1172
X91788_AT	CLNS1A	"chloride channel, nucleotide-sensitive, 1A"	4443	843
AB002332_AT	CLOCK	clock homolog (mouse)	417	1642
AB005535_S_AT	CLOCK	clock homolog (mouse)	-25	-182
U73524_AT	CLP1	"CLP1, cleavage and polyadenylation factor I subunit, homolog (S. cerevisiae)"	290	149
Z50853_AT	CLPP	"ClpP caseinolytic peptidase, ATP-dependent, proteolytic subunit homolog (E. coli)"	1144	386
J02883_AT	CLPS	"colipase, pancreatic"	187	196
M20471_AT	CLTA	"clathrin, light chain (Lca)"	6449	5724
X81636_AT	CLTA	"clathrin, light chain (Lca)"	-34	-123
D21260_AT	CLTC	"clathrin, heavy chain (Hc)"	2761	3404
U41763_AT	CLTCL1	"clathrin, heavy chain-like 1"	-447	-199
M63379_AT	CLU	clusterin	15662	3493
D63813_AT	CLUL1	clusterin-like 1 (retinal)	-80	381
M64269_S_AT	CMA1	"chymase 1, mast cell"	253	223
U79526_AT	CMKLR1	chemokine-like receptor 1	-39	-13
U19765_AT	CNBP	"CCHC-type zinc finger, nucleic acid binding protein"	211	413
S42457_AT	CNGA1	cyclic nucleotide gated channel alpha 1	29	37
S76067_AT	CNGA2	cyclic nucleotide gated channel alpha 2	-10	20
L15296_S_AT	CNGB1	cyclic nucleotide gated channel beta 1	-80	86
U58837_S_AT	CNGB1	cyclic nucleotide gated channel beta 1	-15	10
D17408_S_AT	CNN1	"calponin 1, basic, smooth muscle"	183	310
D83735_AT	CNN2	calponin 2	435	1569
S80562_AT	CNN3	"calponin 3, acidic"	211	693
D13146_CDS1_AT	CNP	"2',3'-cyclic nucleotide 3' phosphodiesterase"	1523	2081
M19650_S_AT	CNP	"2',3'-cyclic nucleotide 3' phosphodiesterase"	266	470
S50017_S_AT	CNP	"2',3'-cyclic nucleotide 3' phosphodiesterase"	414	193
U73304_RNA1_AT	CNR1	cannabinoid receptor 1 (brain)	7	-11
X74328_RNA1_AT	CNR2	cannabinoid receptor 2 (macrophage)	-62	224
X55889_AT	CNTF /// ZFP91	ciliary neurotrophic factor /// zinc finger protein 91 homolog (mouse)	198	189
L38025_AT	CNTFR	ciliary neurotrophic factor receptor	-334	100
Z21488_AT	CNTN1	contactin 1	883	198
X67734_AT	CNTN2	contactin 2 (axonal)	249	-253
U87223_AT	CNTNAP1	contactin associated protein 1	107	352
U18919_AT	COASY	Coenzyme A synthase	624	190
Z34975_AT	COG2	component of oligomeric golgi complex 2	169	363
U06632_AT	COIL	coilin	-5	197
X60382_RNA1_AT	COL10A1	"collagen, type X, alpha 1(Schmid metaphyseal chondrodysplasia)"	46	108
J04177_AT	COL11A1	"collagen, type XI, alpha 1"	392	935
U12139_AT	COL11A1	"collagen, type XI, alpha 1"	64	536
U41068_CDS2_S_AT	COL11A2	"collagen, type XI, alpha 2"	638	392
M33653_AT	COL13A1	"collagen, type XIII, alpha 1"	-50	29
M64108_AT	COL14A1	"collagen, type XIV, alpha 1 (undulin)"	348	394
Y11709_AT	COL14A1	"collagen, type XIV, alpha 1 (undulin)"	-540	-165
Y11710_RNA1_AT	COL14A1	"collagen, type XIV, alpha 1 (undulin)"	274	431
L25286_S_AT	COL15A1	"collagen, type XV, alpha 1"	215	925
M92642_AT	COL16A1	"collagen, type XVI, alpha 1"	1886	499
S57132_S_AT	COL16A1	"collagen, type XVI, alpha 1"	1095	1582
M91669_S_AT	COL17A1	"collagen, type XVII, alpha 1"	-102	88
L22548_AT	COL18A1	"collagen, type XVIII, alpha 1"	325	267
D38163_S_AT	COL19A1	"collagen, type XIX, alpha 1"	-96	-51
U09279_AT	COL19A1	"collagen, type XIX, alpha 1"	53	7
M55998_S_AT	COL1A1	"collagen, type I, alpha 1"	23372	22501
Z74615_AT	COL1A1	"collagen, type I, alpha 1"	1309	4214
V00503_AT	COL1A2	"collagen, type I, alpha 2"	-10	143
Z74616_S_AT	COL1A2	"collagen, type I, alpha 2"	3647	2588
J00116_S_AT	COL2A1	"collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)"	10685	14144
M60299_AT	COL2A1	"collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)"	3923	2862
X06268_AT	COL2A1 /// HNRPM	"collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital) /// heterogeneous nuclear ribonucleoprotein M"	15881	9656
X06700_S_AT	COL3A1	"collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)"	2578	1735
M26576_CDS2_AT	COL4A1	"collagen, type IV, alpha 1"	833	1227
M24766_S_AT	COL4A2	"collagen, type IV, alpha 2"	184	-253
X05610_AT	COL4A2	"collagen, type IV, alpha 2"	1487	1048
M81379_AT	COL4A3	"collagen, type IV, alpha 3 (Goodpasture antigen)"	67	44
D17391_AT	COL4A4	"collagen, type IV, alpha 4"	48	-115
U04520_AT	COL4A5	"collagen, type IV, alpha 5 (Alport syndrome)"	190	309
D21337_AT	COL4A6	"collagen, type IV, alpha 6"	98	43
D90279_S_AT	COL5A1	"collagen, type V, alpha 1"	-120	-33
M11718_AT	COL5A2	"collagen, type V, alpha 2"	1088	862
X15880_AT	COL6A1	"collagen, type VI, alpha 1"	1446	2568
M20777_AT	COL6A2	"collagen, type VI, alpha 2"	-288	-223
X15882_AT	COL6A2	"collagen, type VI, alpha 2"	1783	2018
M20778_S_AT	COL6A3	"collagen, type VI, alpha 3"	133	43
X52022_AT	COL6A3	"collagen, type VI, alpha 3"	1615	1626
M95610_AT	COL9A2	"collagen, type IX, alpha 2"	290	1855
L41162_AT	COL9A3	"collagen, type IX, alpha 3"	-817	2545
D85433_AT	COMMD1	copper metabolism (Murr1) domain containing 1	419	353
L32137_AT	COMP	cartilage oligomeric matrix protein	713	-36
M58525_S_AT	COMT	catechol-O-methyltransferase	958	1693
Z26491_S_AT	COMT	catechol-O-methyltransferase	2064	3467
U24105_AT	COPA	"coatomer protein complex, subunit alpha"	2562	4284
X82103_AT	COPB1	"coatomer protein complex, subunit beta 1"	1054	707
X70476_AT	COPB2	"coatomer protein complex, subunit beta 2 (beta prime)"	1419	858
L40388_AT	COPS2	COP9 constitutive photomorphogenic homolog subunit 2 (Arabidopsis)	-69	112
U65928_AT	COPS5	COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis)	1122	676
U70735_AT	COPS6	COP9 constitutive photomorphogenic homolog subunit 6 (Arabidopsis)	1666	848
U51205_AT	COPS8	COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis)	216	234
X89109_S_AT	CORO1A	"coronin, actin binding protein, 1A"	-285	-174
U57057_AT	CORO2A	"coronin, actin binding protein, 2A"	148	43
U82010_RNA1_AT	COX10	"COX10 homolog, cytochrome c oxidase assembly protein, heme A: farnesyltransferase (yeast)"	830	646
U79270_AT	COX11	"COX11 homolog, cytochrome c oxidase assembly protein (yeast)"	321	259
L77701_AT	COX17	COX17 cytochrome c oxidase assembly homolog (S. cerevisiae)	1114	-91
U90915_AT	COX4I1	cytochrome c oxidase subunit IV isoform 1	2742	7756
M22760_AT	COX5A	cytochrome c oxidase subunit Va	2155	490
M19961_AT	COX5B	cytochrome c oxidase subunit Vb	2915	2320
X15341_AT	COX6A1	cytochrome c oxidase subunit VIa polypeptide 1	17641	3576
M83308_AT	COX6A2	cytochrome c oxidase subunit VIa polypeptide 2	-485	-139
AC002115_CDS1_AT	COX6B1	cytochrome c oxidase subunit Vib polypeptide 1 (ubiquitous)	5837	6103
X13238_AT	COX6C	cytochrome c oxidase subunit VIc	31863	4635
M83186_AT	COX7A1	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)	268	-145
X15822_AT	COX7A2	cytochrome c oxidase subunit VIIa polypeptide 2 (liver)	2353	3578
Z14244_AT	COX7B	cytochrome c oxidase subunit VIIb	875	1515
X16560_AT	COX7C	cytochrome c oxidase subunit VIIc	7951	1781
J04823_RNA1_AT	COX8A	cytochrome c oxidase subunit 8A (ubiquitous)	3367	5799
M13699_AT	CP	ceruloplasmin (ferroxidase)	-27	454
X67318_AT	CPA1	carboxypeptidase A1 (pancreatic)	-388	-276
U19977_AT	CPA2	carboxypeptidase A2 (pancreatic)	125	38
M73720_AT	CPA3	carboxypeptidase A3 (mast cell)	1549	269
M81057_AT	CPB1	carboxypeptidase B1 (tissue)	49738	191
M75106_AT	CPB2	carboxypeptidase B2 (plasma)	18	21
U90914_AT	CPD	carboxypeptidase D	639	75
X51405_AT	CPE	carboxypeptidase E	381	264
U35100_AT	CPLX2	complexin 2	-690	-651
J04970_AT	CPM	carboxypeptidase M	65	-116
X14329_AT	CPN1	"carboxypeptidase N, polypeptide 1"	489	-4
J05158_AT	CPN2	"carboxypeptidase N, polypeptide 2"	-91	-81
U83246_AT	CPNE1	copine I	1078	4192
D16611_S_AT	CPOX	coproporphyrinogen oxidase	1	-52
D90282_AT	CPS1	"carbamoyl-phosphate synthetase 1, mitochondrial"	-40	-213
U37012_AT	CPSF1	"cleavage and polyadenylation specific factor 1, 160kDa"	1260	1779
X67337_AT	CPSF6	"cleavage and polyadenylation specific factor 6, 68kDa"	-74	-48
L39211_AT	CPT1A	carnitine palmitoyltransferase 1A (liver)	53	-48
Y08682_RNA1_S_AT	CPT1B	carnitine palmitoyltransferase 1B (muscle)	544	1095
U09646_AT	CPT2	carnitine palmitoyltransferase II	163	519
U83411_AT	CPZ	carboxypeptidase Z	-265	-352
L17418_CDS2_S_AT	CR1	complement component (3b/4b) receptor 1 (Knops blood group)	-93	55
M31241_S_AT	CR1	complement component (3b/4b) receptor 1 (Knops blood group)	37	25
X05309_AT	CR1	complement component (3b/4b) receptor 1 (Knops blood group)	-50	-79
X14362_AT	CR1	complement component (3b/4b) receptor 1 (Knops blood group)	-102	-33
M26004_S_AT	CR2	complement component (3d/Epstein Barr virus) receptor 2	112	-34
S62696_S_AT	CR2	complement component (3d/Epstein Barr virus) receptor 2	-133	-140
S74445_AT	CRABP1	cellular retinoic acid binding protein 1	43	1314
M97815_AT	CRABP2	cellular retinoic acid binding protein 2	3736	4595
U79115_S_AT	CRADD	CASP2 and RIPK1 domain containing adaptor with death domain	69	12
U84388_AT	CRADD	CASP2 and RIPK1 domain containing adaptor with death domain	791	-16
X78706_AT	CRAT	carnitine acetyltransferase	1494	993
M27691_AT	CREB1	cAMP responsive element binding protein 1	578	237
S78693_F_AT	CREB1	cAMP responsive element binding protein 1	37	186
X60003_S_AT	CREB1	cAMP responsive element binding protein 1	520	569
AF009368_AT	CREB3	cAMP responsive element binding protein 3	1648	1260
L05515_AT	CREB5	cAMP responsive element binding protein 5	-125	-228
U89355_AT	CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	588	547
U31903_S_AT	CREBL1	cAMP responsive element binding protein-like 1	1080	671
U52696_S_AT	CREBL1 /// TNXB	cAMP responsive element binding protein-like 1 /// tenascin XB	9491	2105
D14826_S_AT	CREM	cAMP responsive element modulator	114	153
S68134_S_AT	CREM	cAMP responsive element modulator	-41	55
S68271_S_AT	CREM	cAMP responsive element modulator	66	-64
V00571_RNA1_AT	CRH	corticotropin releasing hormone	41	-71
X58022_AT	CRHBP	corticotropin releasing hormone binding protein	-178	-146
L23333_S_AT	CRHR1	corticotropin releasing hormone receptor 1	595	1047
X72304_AT	CRHR1	corticotropin releasing hormone receptor 1	-15	-48
U34587_AT	CRHR2	corticotropin releasing hormone receptor 2	450	290
U09770_AT	CRIP1	cysteine-rich protein 1 (intestinal)	4358	697
D42123_AT	CRIP2	cysteine-rich protein 2	3016	2734
X95237_AT	CRISP1	cysteine-rich secretory protein 1	33	-121
X95239_AT	CRISP2	cysteine-rich secretory protein 2	9	47
X95240_S_AT	CRISP3	cysteine-rich secretory protein 3	-15	-40
D10656_AT	CRK	v-crk sarcoma virus CT10 oncogene homolog (avian)	280	75
X59656_AT	CRKL	v-crk sarcoma virus CT10 oncogene homolog (avian)-like	-46	178
D78012_AT	CRMP1	collapsin response mediator protein 1	970	928
X56692_AT	CRP	"C-reactive protein, pentraxin-related"	36	167
D83702_AT	CRY1	cryptochrome 1 (photolyase-like)	114	119
X14789_AT	CRYAA	"crystallin, alpha A"	-313	70
S45630_AT	CRYAB	"crystallin, alpha B"	550	8226
M14306_AT	CRYBA1	"crystallin, beta A1"	11	21
U59058_S_AT	CRYBA1	"crystallin, beta A1"	85	149
U59057_AT	CRYBA4	"crystallin, beta A4"	243	-237
U35340_AT	CRYBB1	"crystallin, beta B1"	-43	-134
L10035_AT	CRYBB2	"crystallin, beta B2"	-68	-47
M17316_AT	CRYGA	"crystallin, gamma A"	-5	30
M11973_CDS1_AT	CRYGB	"crystallin, gamma B"	47	-41
K03008_CDS1_AT	CRYGC	"crystallin, gamma C"	-28	226
K03008_CDS2_AT	CRYGD	"crystallin, gamma D"	304	447
L02950_AT	CRYM	"crystallin, mu"	-231	-32
L13278_AT	CRYZ	"crystallin, zeta (quinone reductase)"	184	498
M24069_AT	CSDA	cold shock domain protein A	135	449
X95325_S_AT	CSDA	cold shock domain protein A	457	826
U79280_AT	CSDC2	"cold shock domain containing C2, RNA binding"	17	-93
U33286_AT	CSE1L	CSE1 chromosome segregation 1-like (yeast)	2262	923
M37435_AT	CSF1	colony stimulating factor 1 (macrophage)	687	793
X03663_AT	CSF1R	"colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog"	120	70
M13207_AT	CSF2	colony stimulating factor 2 (granulocyte-macrophage)	7	674
X17648_AT	CSF2RA	"colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)"	155	-15
M59941_AT	CSF2RB	"colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)"	76	-102
X03656_RNA1_AT	CSF3	colony stimulating factor 3 (granulocyte)	648	208
M59820_AT	CSF3R	colony stimulating factor 3 receptor (granulocyte)	-109	608
J03071_CDS3_F_AT	CSH1	chorionic somatomammotropin hormone 1 (placental lactogen)	342	58
X59932_S_AT	CSK	c-src tyrosine kinase	1431	503
X78416_S_AT	CSN1S1	casein alpha s1	267	47
L10615_S_AT	CSN2	casein beta	1822	1296
X13766_S_AT	CSN2	casein beta	212	137
X66417_AT	CSN3	casein kappa	546	235
L37042_AT	CSNK1A1	"casein kinase 1, alpha 1"	764	79
U29171_AT	CSNK1D	"casein kinase 1, delta"	927	1141
L37043_AT	CSNK1E	"casein kinase 1, epsilon"	1785	1475
U89896_AT	CSNK1G2	"casein kinase 1, gamma 2"	537	149
M55265_AT	CSNK2A1	"casein kinase 2, alpha 1 polypeptide"	747	712
M55268_AT	CSNK2A2	"casein kinase 2, alpha prime polypeptide"	899	1246
X57152_RNA1_S_AT	CSNK2B	"casein kinase 2, beta polypeptide"	2631	1608
X96753_AT	CSPG4	chondroitin sulfate proteoglycan 4	-37	-91
M76378_AT	CSRP1	cysteine and glycine-rich protein 1	1496	3676
U46006_S_AT	CSRP2	cysteine and glycine-rich protein 2	46	128
U49837_AT	CSRP3	cysteine and glycine-rich protein 3 (cardiac LIM protein)	511	596
X54667_AT	CST1 /// CST2 /// CST4	cystatin SN /// cystatin SA /// cystatin S	350	-180
X54667_S_AT	CST1 /// CST4	cystatin SN /// cystatin S	935	652
M27891_AT	CST3	cystatin C (amyloid angiopathy and cerebral hemorrhage)	12326	3180
U62800_AT	CST6	cystatin E/M	2	-214
D88422_AT	CSTA	cystatin A (stefin A)	84	164
U46692_RNA1_AT	CSTB	cystatin B (stefin B)	2799	5427
L02547_AT	CSTF1	"cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa"	-43	76
M85085_AT	CSTF2	"cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa"	-138	-192
U15782_AT	CSTF3	"cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa"	885	1160
M27749_AT	CTA-246H3.1 /// IGLL1 /// LOC91316	"immunoglobulin lambda-like polypeptide 1 /// similar to bK246H3.1 (immunoglobulin lambda-like polypeptide 1, pre-B-cell specific) /// similar to omega protein"	865	609
U87459_AT	CTAG1A /// CTAG1B /// CTAG2	cancer/testis antigen 1B /// cancer/testis antigen 2 /// cancer/testis antigen 1A	537	536
U73682_AT	CTAGE5	"CTAGE family, member 5"	420	663
U63541_AT	CTB-1048E9.5	similar to SRR1-like protein	300	177
U37408_AT	CTBP1	C-terminal binding protein 1	479	-73
M95767_AT	CTBS	"chitobiase, di-N-acetyl-"	208	357
U25435_AT	CTCF	CCCTC-binding factor (zinc finger protein)	230	341
U19147_S_AT	CTD-2248C21.2 /// GAGE1 /// GAGE11 /// GAGE12C /// GAGE12D /// GAGE12E /// GAGE12G /// GAGE12H /// GAGE2 /// GAGE4 /// GAGE5 /// GAGE6 /// GAGE7 /// GAGE7B /// GAGE8 /// LOC729447	G antigen 1 /// G antigen 2 /// G antigen 4 /// G antigen 5 /// G antigen 6 /// G antigen 7 /// G antigen 7B /// G antigen 8 /// G antigen 12D /// G antigen 12G /// G antigen 11 /// similar to GAGE-8 protein (G antigen 8) /// G antigen 12C /// G antigen 12E /// G antigen 12H /// similar to GAGE-2 protein (G antigen 2)	68	114
U81556_AT	CTDSP2	"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2"	2450	1248
U43030_AT	CTF1	cardiotrophin 1	43	1073
M92934_AT	CTGF	connective tissue growth factor	862	4271
S52028_S_AT	CTH	cystathionase (cystathionine gamma-lyase)	79	0
M37245_AT	CTLA4	cytotoxic T-lymphocyte-associated protein 4	626	482
U03100_AT	CTNNA1	"catenin (cadherin-associated protein), alpha 1, 102kDa"	1589	618
M94151_AT	CTNNA2	"catenin (cadherin-associated protein), alpha 2"	-75	-206
X87838_AT	CTNNB1	"catenin (cadherin-associated protein), beta 1, 88kDa"	1749	2588
AB002382_AT	CTNND1	"catenin (cadherin-associated protein), delta 1"	1486	2362
U52828_S_AT	CTNND2	"catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)"	546	523
U96136_AT	CTNND2	"catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)"	116	150
X52142_AT	CTPS	CTP synthase	-80	439
D63875_AT	CTR9	"Ctr9, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)"	567	562
M24400_AT	CTRB1	chymotrypsinogen B1	-129	-599
S82198_AT	CTRC	chymotrypsin C (caldecrin)	1672	802
X71877_AT	CTRL	chymotrypsin-like	124	-74
M22960_AT	CTSA	cathepsin A	1162	1717
L22569_AT	CTSB	cathepsin B	-259	-267
X87212_AT	CTSC	cathepsin C	122	230
M63138_AT	CTSD	cathepsin D	3718	4863
J05036_S_AT	CTSE	cathepsin E	157	-33
J04990_AT	CTSG	cathepsin G	476	833
X16832_AT	CTSH	cathepsin H	432	1183
X82153_AT	CTSK	cathepsin K	210	309
X12451_AT	CTSL1	cathepsin L1	901	571
X77383_AT	CTSO	cathepsin O	18	-48
M90696_AT	CTSS	cathepsin S	32	206
M98343_AT	CTTN	cortactin	493	589
U63289_AT	CUGBP1	"CUG triplet repeat, RNA binding protein 1"	222	-142
U69546_AT	CUGBP2	"CUG triplet repeat, RNA binding protein 2"	230	353
U58087_AT	CUL1	cullin 1	914	53
U83410_AT	CUL2	cullin 2	303	238
U58089_AT	CUL3	cullin 3	1189	620
U58090_AT	CUL4A	cullin 4A	135	135
U58091_AT	CUL4B	cullin 4B	87	130
X81882_AT	CUL5	cullin 5	37	-24
D38548_AT	CUL7	cullin 7	993	1151
M74099_AT	CUTL1	"cut-like 1, CCAAT displacement protein (Drosophila)"	330	327
U84487_AT	CX3CL1	chemokine (C-X3-C motif) ligand 1	214	1097
U20350_AT	CX3CR1	chemokine (C-X3-C motif) receptor 1	397	81
U90716_AT	CXADR	coxsackie virus and adenovirus receptor	824	222
X54489_RNA1_AT	CXCL1	"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)"	-81	52
X02530_AT	CXCL10	chemokine (C-X-C motif) ligand 10	88	971
U59286_AT	CXCL11	chemokine (C-X-C motif) ligand 11	-85	68
L36033_AT	CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	260	345
U19495_S_AT	CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	203	359
M57731_S_AT	CXCL2	chemokine (C-X-C motif) ligand 2	-41	99
X53800_S_AT	CXCL3	chemokine (C-X-C motif) ligand 3	21	36
L37036_S_AT	CXCL5	chemokine (C-X-C motif) ligand 5	193	77
X78686_AT	CXCL5	chemokine (C-X-C motif) ligand 5	49	-9
U83303_CDS2_AT	CXCL6	chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2)	50	185
X72755_AT	CXCL9	chemokine (C-X-C motif) ligand 9	351	4595
U32674_S_AT	CXCR3	chemokine (C-X-C motif) receptor 3	488	-131
X95876_AT	CXCR3	chemokine (C-X-C motif) receptor 3	402	962
L06797_S_AT	CXCR4	chemokine (C-X-C motif) receptor 4	224	808
U67784_AT	CXCR7	chemokine (C-X-C motif) receptor 7	440	42
L43575_S_AT	CXorf40A /// CXorf40B	chromosome X open reading frame 40A /// chromosome X open reading frame 40B	546	351
L43576_AT	CXorf40A /// CXorf40B	chromosome X open reading frame 40A /// chromosome X open reading frame 40B	87	303
L43579_AT	CXorf40A /// CXorf40B	chromosome X open reading frame 40A /// chromosome X open reading frame 40B	369	253
L43579_S_AT	CXorf40A /// CXorf40B	chromosome X open reading frame 40A /// chromosome X open reading frame 40B	852	497
