Gene.Chr	MCF7	BT474	ZR751	T47D	MDAMB468	MDAMB231	BT20
C9orf150.9	1792	384	316	10824	966	75	146
C9orf152.9	108	3953	2758	2465	623	2	25
C9orf153.9	0	2	1	0	1	0	0
C9orf156.9	545	227	214	305	582	382	470
C9orf16.9	3064	2104	1243	1373	2244	829	4387
C9orf163.9	178	206	57	183	52	40	181
C9orf164.9	62	111	85	58	35	78	124
C9orf165.9	21	2	14	6	7	4	130
C9orf167.9	181	92	50	256	83	8376	814
C9orf19.9	165	20	45	69	291	188	45
C9orf21.9	285	101	158	191	821	478	600
C9orf23.9	778	1700	633	658	943	474	695
C9orf24.9	8	16	5	6	9	2	2
C9orf25.9	1140	2030	2057	720	2679	962	411
C9orf3.9	968	545	301	809	605	1508	2106
C9orf30.9	759	290	438	308	706	2338	2040
C9orf37.9	418	361	225	513	381	427	817
C9orf4.9	2	0	2	0	1	0	0
C9orf40.9	394	141	311	590	1008	1152	1028
C9orf41.9	502	417	597	972	1416	583	865
C9orf43.9	30	36	39	75	4	15	85
C9orf46.9	201	375	494	659	491	276	243
C9orf47.9	31	107	22	18	23	0	61
C9orf5.9	5298	3640	3030	8391	2754	8653	8463
C9orf50.9	41	3	5	12	5	3	12
C9orf57.9	0	0	1	0	0	0	0
C9orf58.9	5407	8217	3675	3496	5954	2238	10676
C9orf6.9	1018	534	577	1651	767	654	1540
C9orf61.9	1847	76	309	28	140	102	38
C9orf64.9	997	621	636	354	420	1423	0
C9orf66.9	113	4	45	30	50	2	0
C9orf68.9	30	1	21	42	38	0	51
C9orf69.9	3413	2304	1756	1628	2640	3865	5467
C9orf7.9	1765	3844	2117	2182	871	670	1645
C9orf71.9	0	2	2	0	2	0	0
C9orf72.9	124	156	474	227	339	259	140
C9orf75.9	3312	2859	2275	5200	796	1046	4808
C9orf78.9	2282	3834	2329	2575	2363	1357	3999
C9orf79.9	0	4	0	0	0	0	15
C9orf80.9	819	525	542	917	603	359	876
C9orf82.9	855	269	695	513	1306	899	749
C9orf84.9	5	24	0	1	63	27	43
C9orf85.9	173	180	157	83	423	139	100
C9orf86.9	11535	9997	6352	7794	7647	6956	17799
C9orf89.9	1316	1011	684	648	655	2507	1006
C9orf9.9	126	64	98	330	250	120	168
C9orf91.9	1230	1912	2050	3058	782	1197	1212
C9orf93.9	166	52	130	121	146	44	125
C9orf95.9	408	237	691	865	1310	175	351
C9orf96.9	31	62	49	36	14	10	79
C9orf97.9	1617	936	639	723	830	1008	1611
C9orf98.9	91	25	87	237	59	19	89
CA1.8	1	2	0	0	0	0	0
CA10.17	4	10	5	0	0	0	0
CA11.19	296	30	53	552	225	16	289
CA12.15	9685	3289	24184	30614	21	2958	4
CA13.8	38	7	271	55	18	391	22
CA14.1	36	13	49	24	27	9	21
CA2.8	3207	110	654	0	24	96	48
CA3.8	4	0	2	0	0	13	2
CA4.17	1394	19	2	0	0	1	0
CA5A.16	0	4	4	1	2	0	0
CA5B.x	527	3200	275	366	446	371	183
CA6.1	0	1	0	0	0	0	0
CA7.16	2	5	2	11	0	6	2
CA8.8	362	473	97	1198	0	21	0
CA9.9	2	14	1	4	673	91	32
CAB39.2	2850	4401	4869	1397	12095	3612	8011
CAB39L.13	494	930	1104	1496	417	760	643
CABC1.1	2027	1113	1945	745	934	1518	1189
CABIN1.22	4449	4293	4161	3055	4410	2563	6036
CABLES1.18	1968	4744	4113	2013	729	1354	630
CABLES2.20	3014	961	1752	1202	1227	2099	2096
CABP1.12	16	6	8	5	3	9	0
CABP2.11	1	4	0	0	0	0	0
CABP4.11	3	0	8	0	3	1	0
CABP5.19	1	12	6	0	0	0	0
CABP7.22	8	21	15	26	8	14	2
CABYR.18	320	209	232	821	198	103	58
CACHD1.1	255	208	122	164	333	470	27
CACNA1A.19	27	71	33	3	29	3	32
CACNA1B.9	17	39	179	36	2	1	123
CACNA1C.12	234	48	182	9	2	0	8
CACNA1D.3	502	690	996	579	143	0	1379
CACNA1E.1	0	1	18	9	16	2	0
CACNA1F.x	8	6	46	46	4	35	15
CACNA1G.17	17	48	8	8	4	7	78
CACNA1H.16	6837	2441	350	1987	0	3	14
CACNA1I.22	70	26	39	612	9	9	84
CACNA1S.1	3	10	12	0	0	3	0
CACNA2D1.7	4	70	375	133	0	154	0
CACNA2D2.3	192	522	588	349	117	5	102
CACNA2D3.3	6	4	2	0	20	0	12
CACNA2D4.12	11	81	32	1	1	47	3
CACNB1.17	316	1333	90	884	184	427	8
CACNB2.10	29	41	36	6	4	13	22
CACNB3.12	3306	2725	1845	1979	1052	155	2502
CACNB4.2	13	24	205	241	9	100	33
CACNG1.17	43	47	31	9	0	0	0
CACNG2.22	0	8	9	0	5	0	0
CACNG3.16	1	14	4	0	2	0	0
CACNG4.17	29817	5349	4650	6411	205	2	3
CACNG5.17	0	59	1	0	0	0	0
CACNG6.19	128	6	41	3	3	58	0
CACNG7.19	10	10	10	3	4	213	0
CACNG8.19	5	1	4	0	0	31	13
CACYBP.1	2255	4477	5494	3610	5017	2329	3012
CAD.2	8200	6784	2902	2960	9073	8869	8737
CADM1.11	3781	1632	878	8290	2	5	0
CADM2.3	2	162	43	3	0	1	0
CADM3.1	0	19	0	0	0	0	0
CADM4.19	665	1501	950	884	1787	150	274
CADPS.3	12	2	3	1	1	1	0
CADPS2.7	1732	1694	1138	1220	1630	422	996
CAGE1.6	3	5	5	5	103	1	11
CALB1.8	9	16	2	4	2	0	0
CALB2.16	229	28	31	10	164	4319	255
CALCA.11	0	1	0	0	0	0	0
CALCB.11	2	0	1	0	0	0	9
CALCOCO1.12	3210	1494	894	1989	712	1437	1248
CALCOCO2.17	4108	12032	6118	8518	3382	5151	3301
CALCR.7	3245	47	0	441	0	16	4
CALCRL.2	0	0	4	0	0	8	0
CALD1.7	19	164	221	846	7697	4047	15482
CALHM1.10	28	0	1	0	4	4	0
CALHM2.10	2676	295	253	39	126	1227	26
CALHM3.10	106	0	6	0	33	271	3
CALM1.14	19612	37629	26933	19189	13491	8345	24048
CALM2.2	18817	15626	20143	11457	23578	18273	15844
CALM3.19	13111	12988	17359	14208	11458	13736	21643
CALML3.10	20	48	5	0	8	0	0
CALML4.15	533	397	381	258	406	311	453
CALML5.10	1666	1687	121	0	2280	0	10
CALML6.1	38	67	43	11	7	2	10
CALN1.7	3	24	21	0	5	3	0
CALR.19	34080	22565	32022	60432	36018	41261	28346
CALR3.19	3	4	2	1	16	1	6
CALU.7	5254	8980	6358	7884	10624	14900	12378
CALY.10	18	0	6	1	1	2	0
CAMK1.3	249	82	71	156	80	1152	76
CAMK1D.10	386	130	635	195	1321	212	819
CAMK1G.1	0	3	2	0	6	4	0
CAMK2A.5	2	0	2	2	2	8	0
CAMK2B.7	270	605	210	106	84	0	25
CAMK2D.4	608	4304	1945	42	1459	995	3346
CAMK2G.10	2221	1847	2168	2533	6624	1953	8959
CAMK2N1.1	1221	2649	2609	1288	7085	989	10037
CAMK2N2.3	245	112	213	948	229	684	2340
CAMK4.5	1	1	0	0	71	362	0
CAMKK1.17	471	770	347	349	168	443	119
CAMKK2.12	2885	4029	2693	3856	3503	2770	2646
CAMKV.3	8	1	5	1	9	1	2
CAMLG.5	1641	1126	1395	1537	1457	1313	838
CAMP.3	5	17	56	0	0	0	4
CAMSAP1.9	5206	3881	2688	2668	3454	3687	5606
CAMSAP1L1.1	5760	1668	3716	5111	7308	2216	4192
CAMTA1.1	897	608	1246	324	617	206	526
CAMTA2.17	3012	1901	1769	1961	1441	2730	1759
CAND1.12	13993	9998	16334	10999	11225	4341	9939
CAND2.3	33	20	19	374	11	37	42
CANT1.17	5083	10121	14045	17807	6899	5806	4195
CANX.5	37345	52731	50536	45953	66141	55875	44709
CAP1.1	7865	7890	9491	7528	29585	14372	14203
CAP2.6	1937	3267	597	2722	3011	1362	1853
CAPG.2	2303	167	353	1709	3238	11541	653
CAPN1.11	19479	15463	9795	11702	27278	9324	39799
CAPN10.2	1069	723	751	449	814	669	1087
CAPN11.6	5	15	5	7	8	498	0
CAPN12.19	174	64	77	4	136	83	105
CAPN13.2	622	913	530	374	1663	0	4652
CAPN2.1	4452	5000	40791	8443	30778	25952	30741
CAPN3.15	12	136	27	4	65	12	30
CAPN5.11	822	393	66	472	240	1089	680
CAPN6.x	12	35	7	10	0	0	298
CAPN7.3	2486	3035	2435	2953	2242	1968	3427
CAPN9.1	368	214	647	105	24	1	4
CAPNS1.19	15499	13308	11366	11900	14798	12780	25027
CAPNS2.16	4	0	2	0	8	0	2
CAPRIN1.11	14128	17295	13862	24252	45398	18869	35492
CAPRIN2.12	341	421	416	562	348	1468	589
CAPS.19	838	1220	643	206	138	46	243
CAPS2.12	11	29	12	15	13	26	1
CAPSL.5	0	0	4	100	7	1	0
CAPZA1.1	6174	6398	8251	6221	12209	8081	36875
CAPZA2.7	3244	4719	4316	2368	5455	2186	6166
CAPZA3.12	0	0	0	0	0	2	0
CAPZB.1	7444	5846	5520	7086	7589	5325	10769
CARD10.22	864	907	578	901	2375	3625	1480
CARD11.7	22	59	33	7	11	618	2
CARD14.17	656	418	743	2202	379	40	789
CARD6.5	12	7	20	21	338	87	1409
CARD8.19	592	916	422	518	896	438	439
CARD9.9	122	67	124	311	184	24	6377
CARHSP1.16	2843	2135	3878	4299	4953	2317	5092
CARM1.19	8978	5188	2227	2731	5141	3695	3362
CARS.11	1781	3048	1687	2295	5359	10772	3516
CARS2.13	738	2039	1316	706	3287	1657	2142
CARTPT.5	2	0	1	0	0	1	0
CASC1.12	8	15	35	124	18	2	4
CASC3.17	3470	7554	4838	7288	4710	5656	3935
CASC4.15	2702	3283	5286	5218	3229	2781	6333
CASC5.15	1170	1458	2633	4065	3892	1903	6182
CASD1.7	849	1338	1347	458	477	250	475
CASK.x	4427	3118	3515	2069	5954	2854	3936
CASKIN1.16	717	237	798	198	86	4	62
CASKIN2.17	5936	1928	2174	1700	1956	1385	2559
CASP1.11	2	0	4	19	782	207	134
CASP10.2	44	37	45	0	2917	371	3477
CASP14.19	28	23	23	0	10479	0	98
CASP2.7	2297	4365	2394	1982	3435	1451	4034
CASP3.4	330	2942	1517	942	2404	1040	3506
CASP4.11	209	493	379	315	3593	1775	1425
CASP5.11	0	0	0	0	2	1	1
CASP6.4	578	1111	482	441	739	440	922
CASP7.10	1564	494	3477	2487	1189	878	1021
CASP8.2	502	1348	510	497	1418	979	2105
CASP8AP2.6	1425	2258	1343	1650	4114	1157	1416
CASP9.1	352	267	277	299	435	271	474
CASQ1.1	5	13	7	9	0	0	0
CASQ2.1	7	17	6	47	0	0	27
CASR.3	0	5	3	0	0	1	0
CASS4.20	27	79	5	3	18	2	2
CAST.5	4108	2922	5447	4776	28236	10992	21304
CASZ1.1	3607	4238	2937	1951	2827	452	3109
CAT.11	1581	2996	940	5954	11331	2696	4208
CATSPER1.11	61	34	20	2	56	312	26
CATSPER2.15	50	15	49	71	64	30	74
CATSPER3.5	26	46	29	14	22	19	12
CATSPER4.1	10	7	13	2	8	0	1
CATSPERB.14	33	842	96	14	82	0	3
CAV1.7	15247	48	58	6	8337	18899	3699
CAV2.7	2823	29	90	0	9312	3449	2452
CAV3.3	4	4	2	1	7	0	2
CBARA1.10	2144	2388	1651	2833	2444	3009	1225
CBFA2T2.20	2119	1718	1645	1835	1617	1498	3665
CBFA2T3.16	5442	1258	2130	3718	2	0	295
CBFB.16	1555	2719	3389	1075	5000	1935	5747
CBL.11	3259	1562	1631	2855	8793	3236	6792
CBLB.3	925	900	390	421	600	529	757
CBLC.19	8	12	827	811	1780	0	2310
CBLL1.7	2058	2264	1976	1047	1976	1128	1435
CBLN1.16	0	88	100	2	0	0	19
CBLN2.18	0	1574	1026	27	0	0	0
CBLN3.14	112	20	46	41	23	30	265
CBLN4.20	12	1	0	0	0	3	0
CBR1.21	2380	7	58	2352	2836	2459	5722
CBR3.21	195	430	222	334	868	365	2179
CBR4.4	582	793	955	749	942	300	432
CBS.21	4260	2312	593	1365	8906	0	17712
CBWD1.9	180	157	444	262	292	106	34
CBWD2.2	272	240	448	247	328	58	224
CBWD3.9	0	0	1	0	0	0	0
CBWD6.9	44	11	45	43	106	32	49
CBX1.17	7269	4545	6521	6962	2988	2791	4777
CBX2.17	4816	2710	3555	2459	2920	742	3247
CBX3.7	7665	9156	13112	9153	15333	2698	8909
CBX4.17	3344	3287	3743	1907	2821	1612	2395
CBX5.12	13173	28704	17064	26683	19660	4669	4430
CBX6.22	3124	3510	2051	2152	2499	5144	8444
CBX7.22	848	526	529	954	1072	1078	1556
CBX8.17	597	485	704	555	510	287	652
CBY1.22	430	981	397	558	875	825	485
CC2D1A.19	5995	4662	2025	2343	3693	1327	4869
CC2D1B.1	1605	1084	1122	883	1863	2036	1262
CC2D2A.4	439	277	375	166	52	527	175
CC2D2B.10	0	6	2	3	1	1	2
CCAR1.10	3317	7817	4304	5384	5535	3602	4323
CCBE1.18	2	8	13	4	2	380	0
CCBL1.9	213	127	61	421	457	1028	129
CCBL2.1	878	2611	811	2470	3887	1973	1415
CCBP2.3	147	28	105	588	800	5	2611
CCDC100.5	1043	548	798	942	1822	1687	832
CCDC101.16	1082	626	638	525	448	304	785
CCDC102A.16	286	256	209	423	291	472	781
CCDC102B.18	1	20	16	3	2	2	2
CCDC103.17	126	67	126	255	23	50	82
CCDC104.2	995	301	911	1303	908	1263	554
CCDC105.19	9	4	3	0	2	0	0
CCDC106.19	856	38	1117	599	124	344	241
CCDC107.9	129	59	102	122	333	182	128
CCDC108.2	10	10	40	7	8	0	5
CCDC109A.10	1316	1228	1019	768	3280	1116	2160
CCDC109B.4	601	1575	704	668	1318	1098	786
CCDC11.18	27	123	79	65	27	10	7
CCDC110.4	23	263	69	153	25	3	5
CCDC111.4	133	713	428	343	376	255	474
CCDC112.5	382	607	418	548	759	260	181
CCDC113.16	192	1425	207	1030	851	135	532
CCDC114.19	121	7	93	140	5	47	110
CCDC115.2	1299	1041	1195	1082	1173	468	1405
CCDC116.22	5	1	1	18	3	1	14
CCDC117.22	3005	2660	3202	3348	2179	960	1182
CCDC12.3	820	1116	809	911	475	941	909
CCDC120.x	1738	1298	1856	1959	1885	674	1727
CCDC121.2	91	193	195	151	148	51	101
CCDC122.13	169	193	154	19	73	65	24
CCDC123.19	767	547	794	491	949	364	806
CCDC124.19	2806	1364	1192	1785	2511	2885	2564
CCDC125.5	782	2409	1739	2563	799	481	344
CCDC126.7	149	225	469	352	613	74	140
CCDC127.5	760	938	455	1070	626	604	1564
CCDC128.2	1187	955	564	710	1204	445	1008
CCDC129.7	7	8	0	64	0	0	0
CCDC13.3	8	25	4	13	13	4	2
CCDC130.19	811	1638	393	371	955	588	644
CCDC131.12	2340	2352	2719	4059	3642	2248	1436
CCDC132.7	1018	1406	1270	1322	953	586	1274
CCDC134.22	115	291	234	400	283	141	268
CCDC135.16	10	23	31	20	10	1	4
CCDC136.7	167	63	51	36	342	181	133
CCDC137.17	1904	2121	2428	2002	1657	1715	1647
CCDC138.2	184	272	199	226	609	233	536
CCDC14.3	1648	2791	1287	2570	3020	1524	1646
CCDC140.2	0	0	0	0	0	0	0
CCDC141.2	1	1	2	0	0	2	0
CCDC142.2	581	334	194	282	174	378	561
CCDC144A.17	12	0	10	54	34	16	25
CCDC144B.17	8	1	9	53	5	22	37
CCDC146.7	179	86	54	50	66	81	28
CCDC147.10	5	5	7	11	11	89	29
CCDC148.2	96	38	71	98	35	6	27
CCDC149.4	295	457	469	242	176	81	250
CCDC15.11	95	129	234	930	234	208	357
CCDC150.2	119	101	134	113	338	111	287
CCDC151.19	64	60	92	446	33	22	23
CCDC17.1	51	39	6	34	22	40	68
CCDC18.1	161	294	202	354	1375	353	591
CCDC19.1	26	119	193	260	103	90	49
CCDC21.1	1382	954	1833	1739	3441	1804	2667
CCDC22.x	1703	867	846	1691	927	1332	899
CCDC23.1	271	244	126	128	330	198	269
CCDC24.1	328	177	432	297	263	146	420
CCDC25.8	1122	1191	1343	1487	2817	844	681
CCDC27.1	10	4	5	2	5	1	1
CCDC28A.6	324	235	132	194	532	512	539
CCDC28B.1	84	72	70	151	216	154	29
CCDC29.9	2	0	3	7	4	0	6
CCDC3.10	7	37	19	0	172	212	4
CCDC33.15	0	2	0	0	204	4	0
CCDC34.11	592	911	622	1371	2227	643	633
CCDC36.3	2	8	6	4	3	0	4
CCDC37.3	4	6	2	1	1	2	6
CCDC38.12	1	3	0	2	5	1	2
CCDC39.3	43	12	87	79	34	23	22
CCDC4.4	7	8	2	0	0	155	1
CCDC40.17	75	602	252	269	351	48	93
CCDC41.12	404	480	345	497	407	263	464
CCDC42.17	2	1	0	0	0	0	2
CCDC43.17	947	1679	1755	2772	1696	1107	1315
CCDC44.17	3397	1127	1482	1731	723	1135	1016
CCDC45.17	2539	1944	1365	898	980	1099	889
CCDC46.17	85	25	66	296	86	203	195
CCDC47.17	15776	5329	12030	10317	5434	5898	8771
CCDC48.3	73	170	67	30	17	3	2
CCDC49.17	451	7839	753	1147	553	828	743
CCDC5.18	608	908	629	545	1047	759	409
CCDC50.3	1357	1798	837	1847	2223	3997	2809
CCDC51.3	571	697	587	759	409	537	1260
CCDC52.3	1421	1462	639	1224	893	336	1310
CCDC53.12	412	299	262	1056	443	756	439
CCDC54.3	0	0	0	0	2	0	0
CCDC55.17	466	1957	1351	2039	1542	1504	1113
CCDC56.17	988	1335	1323	2764	785	1685	1479
CCDC57.17	1038	1287	1329	711	568	910	591
CCDC58.3	174	462	337	319	442	242	385
CCDC59.12	709	1325	866	1081	1192	859	266
CCDC6.10	8500	10995	9408	8435	11821	3266	10166
CCDC60.12	3	9	4	4	0	0	0
CCDC61.19	408	199	298	152	186	148	341
CCDC62.12	9	27	4	16	31	13	6
CCDC63.12	141	3	3	1	11	1	4
CCDC64.12	2857	2178	1308	1703	1364	75	2876
CCDC64B.16	1578	770	1636	1037	650	1	1050
CCDC65.12	24	36	25	63	30	6	12
CCDC66.3	228	338	255	317	488	489	388
CCDC67.11	0	0	0	0	1	0	1
CCDC68.18	66	3	54	0	47	157	0
CCDC69.5	346	169	96	213	789	4851	169
CCDC7.10	45	29	31	37	80	14	54
CCDC70.13	0	0	0	0	0	0	0
CCDC71.3	982	526	556	934	395	1124	743
CCDC72.3	432	350	682	422	415	483	441
CCDC73.11	23	24	32	18	133	18	23
CCDC74A.2	442	18	79	223	7	174	57
CCDC74B.2	101	9	85	150	14	45	11
CCDC75.2	123	222	272	280	511	294	342
CCDC76.1	202	571	236	463	643	416	231
CCDC77.12	179	453	576	418	431	498	547
CCDC78.16	1136	247	584	268	85	87	323
CCDC8.19	4	31	2	6	4	357	0
CCDC80.3	76	34	81	372	1050	1660	5637
CCDC81.11	33	18	19	10	36	0	6
CCDC82.11	106	38	142	186	1958	934	1200
CCDC83.11	179	22	15	3	10	0	0
CCDC84.11	335	153	103	570	317	330	339
CCDC85A.2	375	32	163	573	2	10	0
CCDC85B.11	3181	1517	2884	964	1288	3633	1555
CCDC86.11	1480	1971	592	2065	2681	2492	1501
CCDC87.11	61	149	113	46	52	7	77
CCDC88A.2	36	18	213	218	1242	4367	825
CCDC88B.11	136	25	79	244	71	156	151
CCDC88C.14	3579	5566	1480	1661	1277	1570	520
CCDC89.11	48	2	0	15	24	0	0
CCDC9.19	964	1735	990	779	1117	689	1286
CCDC90A.6	947	855	500	649	2958	1283	2504
CCDC90B.11	1368	935	751	2013	2272	1195	899
CCDC91.12	389	1136	884	638	1280	498	1075
CCDC92.12	1983	1935	1002	1689	1607	912	945
CCDC93.2	2171	2604	2111	1627	3239	3264	3861
CCDC94.19	1384	654	464	514	305	610	852
CCDC95.16	1356	1369	1405	1356	1184	988	1466
CCDC96.4	67	108	252	89	68	66	104
CCDC97.19	2649	4435	2526	1625	2771	1450	3678
CCDC99.5	796	1218	1281	1700	3316	2115	1897
CCHCR1.6	673	1024	735	1667	2272	1830	2810
CCIN.9	5	17	12	0	2	2	0
CCK.3	10	8	13	0	14	0	0
CCKAR.4	3	5	2	0	3	1	0
CCKBR.11	8	38	14	0	0	0	0
CCL1.17	0	1	0	0	0	0	0
CCL11.17	0	0	0	0	0	0	0
CCL13.17	0	1	0	0	0	0	0
CCL15.17	0	0	0	0	0	0	0
CCL16.17	0	6	1	0	0	1	0
CCL17.16	0	38	30	2	8	1	0
CCL18.17	0	0	0	0	0	0	0
CCL19.9	2	16	2	0	1	0	0
CCL2.17	6	18	2	0	0	0	32
CCL20.2	1	3	0	0	48	3	11
CCL21.9	0	19	8	1	4	0	1
CCL22.16	29	39	206	62	1206	0	32
CCL23.17	0	2	1	0	0	0	0
CCL24.7	3	1	2	1	0	5	0
CCL25.19	0	6	3	0	3	0	0
CCL26.7	5	2	0	1	4	5	1
CCL27.9	0	5	0	1	11	1	2
CCL28.5	98	10	423	1124	889	41	248
CCL3.17	0	0	0	0	0	0	0
CCL3L1.17	0	0	0	0	0	0	0
CCL4.17	0	0	0	0	0	0	0
CCL5.17	101	36	7	6	28	3	2
CCL7.17	0	0	0	0	0	0	0
CCL8.17	0	0	0	0	0	0	0
CCM2.7	1724	2345	1263	2021	1927	1037	1863
CCNA1.13	35	2	6	0	39	574	50
CCNA2.4	1767	1797	3496	5348	5730	3568	6036
CCNB1.5	5180	3149	4786	11188	7839	9726	10331
CCNB1IP1.14	1954	2350	708	647	7139	1160	1810
CCNB2.15	2089	2023	2528	6538	3859	2834	7565
CCNB3.x	6	86	92	208	51	85	1750
CCNC.6	1854	2069	2512	1700	9778	1404	2644
CCND1.11	72298	19344	45913	14725	28228	35842	17263
CCND2.12	84	63	29	0	4	66	2
CCND3.6	2331	1002	2164	2434	4230	4087	9861
CCNDBP1.15	1095	594	480	976	1151	1271	1797
CCNE1.19	472	302	914	302	1557	360	1115
CCNE2.8	697	2174	1337	1488	1615	720	1299
CCNF.16	2769	2412	3660	4683	3209	2430	5186
CCNG1.5	5029	2387	4790	6725	10103	2958	1633
CCNG2.4	2861	15128	3110	1561	1179	1069	879
CCNH.5	893	274	743	1698	1343	1288	815
CCNI.4	12656	45439	16306	8354	14868	10188	15913
CCNI2.5	25	0	16	38	18	11	3
CCNJ.10	694	885	269	606	874	579	198
CCNJL.5	829	638	454	415	634	1932	0
CCNK.14	5815	4652	4814	4278	3626	2115	4397
CCNL1.3	3372	2152	1487	1945	2596	1074	2969
CCNL2.1	11765	7217	5420	4893	4416	1867	5913
CCNO.5	140	281	549	3384	289	331	360
CCNT1.12	1745	1271	893	1791	974	788	1427
CCNT2.2	1978	2543	1900	1190	2040	877	2382
CCNY.10	3035	3347	3538	3772	3174	2870	5026
CCNYL1.2	639	215	314	383	4066	471	2425
CCPG1.15	2642	872	2508	4306	1799	1469	1525
CCR1.3	138	15	16	4	20	30	75
CCR10.17	45	7	147	35	8	18	10
CCR2.3	1	0	0	0	2	1	30
CCR3.3	9	1	2	0	12	2	8
CCR4.3	1	0	6	1	2	1	3
CCR5.3	0	1	0	0	0	0	0
CCR6.6	7	15	24	0	4	2	6
CCR7.17	28	40	24	53	10	5	4
CCR8.3	0	0	7	0	0	0	0
CCR9.3	0	2	0	0	0	0	0
CCRK.9	594	221	277	319	255	99	194
CCRL1.3	7	3	0	9	4	3	3
CCRN4L.4	597	362	402	482	647	878	871
CCS.11	1305	1033	1369	1129	700	638	671
CCT2.12	11705	10010	13894	15581	9203	8027	8525
CCT3.1	17632	26608	19026	23749	22185	13225	24352
CCT4.2	10063	6312	6703	8373	17731	14602	18190
CCT5.5	18276	25189	13062	16572	31551	20299	48534
CCT6A.7	7636	15523	10136	14703	76701	9558	54132
CCT6B.17	58	213	300	72	75	18	123
CCT7.2	15702	12151	9475	10102	16849	20909	20791
CCT8.21	6024	7496	5662	11442	18271	9085	12291
CCT8L1.7	3	3	4	0	4	0	0
CCT8L2.22	0	3	0	0	0	0	0
CD109.6	1452	92	459	189	18240	3	283
CD14.5	14	0	20	5	1008	31	41
CD151.11	7923	4430	3546	7467	6837	17019	16026
CD160.1	25	9	23	14	122	2	4
CD163.12	0	2	5	0	0	0	0
CD163L1.12	36	204	54	0	287	778	800
CD164.6	8973	32996	15380	10652	20416	4065	26803
CD164L2.1	25	3	2	85	37	1	4
CD177.19	21	6	0	4	58	9	0
CD180.5	12	2	2	2	20	0	0
CD19.16	16	18	27	68	2	0	2
CD1A.1	0	2	5	0	1	0	0
CD1B.1	1	0	0	0	0	0	0
CD1C.1	0	0	0	0	0	0	0
CD1D.1	1	7	8	0	0	0	0
CD1E.1	2	0	3	1	0	0	0
CD2.1	1	4	8	1	0	2	1
CD200.3	0	8	0	0	0	2	6
CD200R1.3	2	6	4	4	6	0	13
CD200R2.3	1	0	0	0	0	0	0
CD207.2	4	10	2	58	9	22	4
CD209.19	0	9	2	0	1	1	1
CD22.19	169	25	100	37	436	1741	2174
CD226.18	4	13	9	0	1	1	8
CD24.y	32828	44222	33442	18359	72112	7	46876
CD244.1	0	11	4	0	2	0	4
CD247.1	1	3	0	0	12	2	0
CD248.11	0	0	2	0	0	3	3
CD27.12	114	261	145	22	38	14	21
CD274.9	5	0	7	5	14	401	309
CD276.15	10827	6783	3407	3749	2758	3286	4585
CD28.2	0	5	0	0	2	3	0
CD2AP.6	2257	5020	3814	4193	7790	2910	3670
CD2BP2.16	3201	2723	2909	1979	1014	1080	1218
CD300A.17	0	2	8	2	5	0	0
CD300C.17	2	3	6	2	0	5	0
CD300E.17	0	0	2	0	0	0	0
CD300LB.17	3	12	7	3	2	0	3
CD300LF.17	1	18	11	4	2	2	0
CD300LG.17	2	10	3	2	1	0	0
CD302.2	152	32	1122	885	446	858	32
CD320.19	781	918	417	94	754	1220	64
CD33.19	0	4	1	3	5	1	0
CD34.1	0	0	18	76	4	37	33
CD36.7	635	6	35	211	1	0	0
CD37.19	47	131	8	38	22	13	89
CD38.4	0	1	1	1	35	1	0
CD3D.11	0	1	0	0	0	1	0
CD3E.11	1	1	0	2	1	0	1
CD3EAP.19	1144	1020	1161	900	1375	1107	1461
CD3G.11	1	0	0	2	3	0	0
CD4.12	1	7	18	16	5	0	3
CD40.20	0	6	11	161	1	2003	674
CD40LG.x	1	1	0	0	3	0	0
CD44.11	4625	825	3324	1597	97626	35646	27944
CD46.1	4089	7054	29674	15557	24410	4835	27643
CD47.3	5659	2325	3654	3035	6373	3391	3350
CD48.1	0	0	0	0	1	0	0
CD5.11	13	37	0	6	4	0	2
CD52.1	1	0	1	0	0	5	1
CD53.1	0	3	0	1	0	2	1
CD55.1	3266	1143	4036	3777	3072	4036	1820
CD58.1	459	112	353	294	736	961	1225
CD59.11	9866	3819	6068	12641	37681	12640	27619
CD5L.1	0	0	0	0	3	1	1
CD6.11	2	16	12	4	142	3	0
CD63.12	18222	14763	16475	13128	7174	10297	8981
CD68.17	235	117	434	91	415	4429	197
CD69.12	0	0	0	2	2	1	2
CD7.17	5	14	16	0	18	0	52
CD70.19	15	16	3	3	135	0	2
CD72.9	23	1	17	19	52	4	2
CD74.5	33	5	38	1307	12	14886	44
CD79A.19	25	25	8	1	16	7	0
CD79B.17	0	0	0	2	0	2	0
CD80.3	1	2	0	0	3	0	0
CD81.11	9948	6788	11774	6214	5354	10295	12635
CD82.11	100	2974	4488	7350	13495	9238	4935
CD83.6	67	64	82	114	402	521	307
CD84.1	0	8	4	0	0	1	0
CD86.3	4	2	0	2	4	0	0
CD8A.2	83	11	79	22	5	88	0
CD8B.2	2	0	1	0	0	1	0
CD9.12	13233	17503	10151	2288	7785	4361	6857
CD93.20	0	7	6	0	0	1	0
CD96.3	5	10	3	7	0	211	14
CD97.19	1611	122	256	1520	4413	8713	4594
CD99.x	2010	4979	2426	2109	2315	2238	1441
CD99.y	0	0	0	0	0	0	0
CD99L2.x	1872	796	1260	899	3995	2359	1950
CDA.1	7	2	0	6	123	273	35
